ensembl_A,ensembl_B
ENSSSAG00000081729,ENSSSAG00000007980
ENSSSAG00000039672,ENSSSAG00000003580
ENSSSAG00000104839,ENSSSAG00000003634
ENSSSAG00000098227,ENSSSAG00000003648
ENSSSAG00000053894,ENSSSAG00000039163
ENSSSAG00000075315,ENSSSAG00000071867
ENSSSAG00000006530,ENSSSAG00000114915
ENSSSAG00000100998,ENSSSAG00000084714
ENSSSAG00000006903,ENSSSAG00000041029
ENSSSAG00000051349,ENSSSAG00000076499
ENSSSAG00000071903,ENSSSAG00000073684
ENSSSAG00000038567,ENSSSAG00000087031
ENSSSAG00000106689,ENSSSAG00000043788
ENSSSAG00000009509,ENSSSAG00000050640
ENSSSAG00000064449,ENSSSAG00000097950
ENSSSAG00000100755,ENSSSAG00000101621
ENSSSAG00000059162,ENSSSAG00000004126
ENSSSAG00000080443,ENSSSAG00000107874
ENSSSAG00000007202,ENSSSAG00000002771
ENSSSAG00000073807,ENSSSAG00000002955
ENSSSAG00000078630,ENSSSAG00000115843
ENSSSAG00000065483,ENSSSAG00000000630
ENSSSAG00000000630,ENSSSAG00000002728
ENSSSAG00000074130,ENSSSAG00000116914
ENSSSAG00000045629,ENSSSAG00000040278
ENSSSAG00000007425,ENSSSAG00000003456
ENSSSAG00000103858,ENSSSAG00000003456
ENSSSAG00000075855,ENSSSAG00000005787
ENSSSAG00000090366,ENSSSAG00000088265
ENSSSAG00000080786,ENSSSAG00000081591
ENSSSAG00000073416,ENSSSAG00000084975
ENSSSAG00000079415,ENSSSAG00000005452
ENSSSAG00000054585,ENSSSAG00000106428
ENSSSAG00000001522,ENSSSAG00000008419
ENSSSAG00000067261,ENSSSAG00000064879
ENSSSAG00000108755,ENSSSAG00000113694
ENSSSAG00000106518,ENSSSAG00000116752
ENSSSAG00000113001,ENSSSAG00000054988
ENSSSAG00000016373,ENSSSAG00000066247
ENSSSAG00000063986,ENSSSAG00000105775
ENSSSAG00000079172,ENSSSAG00000067381
ENSSSAG00000063158,ENSSSAG00000071874
ENSSSAG00000008334,ENSSSAG00000088552
ENSSSAG00000078780,ENSSSAG00000048772
ENSSSAG00000004824,ENSSSAG00000049170
ENSSSAG00000110495,ENSSSAG00000109181
ENSSSAG00000062699,ENSSSAG00000095212
ENSSSAG00000041927,ENSSSAG00000067582
ENSSSAG00000104746,ENSSSAG00000118234
ENSSSAG00000048510,ENSSSAG00000002466
ENSSSAG00000090269,ENSSSAG00000088442
ENSSSAG00000114215,ENSSSAG00000069189
ENSSSAG00000044046,ENSSSAG00000106805
ENSSSAG00000068492,ENSSSAG00000002200
ENSSSAG00000110664,ENSSSAG00000070930
ENSSSAG00000080932,ENSSSAG00000015764
ENSSSAG00000007959,ENSSSAG00000002137
ENSSSAG00000039042,ENSSSAG00000002399
ENSSSAG00000068164,ENSSSAG00000070970
ENSSSAG00000109406,ENSSSAG00000048798
ENSSSAG00000115011,ENSSSAG00000002755
ENSSSAG00000040610,ENSSSAG00000002830
ENSSSAG00000062871,ENSSSAG00000005572
ENSSSAG00000106156,ENSSSAG00000004811
ENSSSAG00000081861,ENSSSAG00000081982
ENSSSAG00000106725,ENSSSAG00000004290
ENSSSAG00000080046,ENSSSAG00000059278
ENSSSAG00000067266,ENSSSAG00000095277
ENSSSAG00000065170,ENSSSAG00000102183
ENSSSAG00000007030,ENSSSAG00000063223
ENSSSAG00000064657,ENSSSAG00000096711
ENSSSAG00000065412,ENSSSAG00000003585
ENSSSAG00000076798,ENSSSAG00000003520
ENSSSAG00000059660,ENSSSAG00000001610
ENSSSAG00000039962,ENSSSAG00000001501
ENSSSAG00000043763,ENSSSAG00000002220
ENSSSAG00000079510,ENSSSAG00000009277
ENSSSAG00000080379,ENSSSAG00000003618
ENSSSAG00000007628,ENSSSAG00000003538
ENSSSAG00000069974,ENSSSAG00000110757
ENSSSAG00000064360,ENSSSAG00000002211
ENSSSAG00000064699,ENSSSAG00000114477
ENSSSAG00000006571,ENSSSAG00000016312
ENSSSAG00000077347,ENSSSAG00000024626
ENSSSAG00000102689,ENSSSAG00000057616
ENSSSAG00000105533,ENSSSAG00000042032
ENSSSAG00000072642,ENSSSAG00000007171
ENSSSAG00000068519,ENSSSAG00000003288
ENSSSAG00000092453,ENSSSAG00000102790
ENSSSAG00000074341,ENSSSAG00000002803
ENSSSAG00000072118,ENSSSAG00000004929
ENSSSAG00000034849,ENSSSAG00000002416
ENSSSAG00000077601,ENSSSAG00000100817
ENSSSAG00000009969,ENSSSAG00000015634
ENSSSAG00000085483,ENSSSAG00000008883
ENSSSAG00000052678,ENSSSAG00000116509
ENSSSAG00000001101,ENSSSAG00000007719
ENSSSAG00000089264,ENSSSAG00000100732
ENSSSAG00000068254,ENSSSAG00000097340
ENSSSAG00000020298,ENSSSAG00000091452
ENSSSAG00000064838,ENSSSAG00000101610
ENSSSAG00000056533,ENSSSAG00000071609
ENSSSAG00000042461,ENSSSAG00000002943
ENSSSAG00000058859,ENSSSAG00000073667
ENSSSAG00000097068,ENSSSAG00000066302
ENSSSAG00000074827,ENSSSAG00000110982
ENSSSAG00000080079,ENSSSAG00000002454
ENSSSAG00000110153,ENSSSAG00000092541
ENSSSAG00000045077,ENSSSAG00000003998
ENSSSAG00000092471,ENSSSAG00000107339
ENSSSAG00000009331,ENSSSAG00000023196
ENSSSAG00000064833,ENSSSAG00000078685
ENSSSAG00000005912,ENSSSAG00000072026
ENSSSAG00000055437,ENSSSAG00000071416
ENSSSAG00000075935,ENSSSAG00000075258
ENSSSAG00000069311,ENSSSAG00000110860
ENSSSAG00000076834,ENSSSAG00000076849
ENSSSAG00000003974,ENSSSAG00000076778
ENSSSAG00000063827,ENSSSAG00000076739
ENSSSAG00000000377,ENSSSAG00000068878
ENSSSAG00000078354,ENSSSAG00000110860
ENSSSAG00000074731,ENSSSAG00000110322
ENSSSAG00000074892,ENSSSAG00000108515
ENSSSAG00000103574,ENSSSAG00000061218
ENSSSAG00000082830,ENSSSAG00000047219
ENSSSAG00000074913,ENSSSAG00000001748
ENSSSAG00000102152,ENSSSAG00000062824
ENSSSAG00000095736,ENSSSAG00000085319
ENSSSAG00000079537,ENSSSAG00000040168
ENSSSAG00000105075,ENSSSAG00000087715
ENSSSAG00000001786,ENSSSAG00000045734
ENSSSAG00000081912,ENSSSAG00000119299
ENSSSAG00000069235,ENSSSAG00000102403
ENSSSAG00000113310,ENSSSAG00000042297
ENSSSAG00000075912,ENSSSAG00000098973
ENSSSAG00000000874,ENSSSAG00000098973
ENSSSAG00000121830,ENSSSAG00000112839
ENSSSAG00000075167,ENSSSAG00000093611
ENSSSAG00000072638,ENSSSAG00000114761
ENSSSAG00000042751,ENSSSAG00000052680
ENSSSAG00000072714,ENSSSAG00000087462
ENSSSAG00000072227,ENSSSAG00000004867
ENSSSAG00000080689,ENSSSAG00000083329
ENSSSAG00000090224,ENSSSAG00000068936
ENSSSAG00000120518,ENSSSAG00000061606
ENSSSAG00000056648,ENSSSAG00000062787
ENSSSAG00000010201,ENSSSAG00000102455
ENSSSAG00000112678,ENSSSAG00000062908
ENSSSAG00000068222,ENSSSAG00000063066
ENSSSAG00000014558,ENSSSAG00000120633
ENSSSAG00000091713,ENSSSAG00000009841
ENSSSAG00000054536,ENSSSAG00000069568
ENSSSAG00000065392,ENSSSAG00000069568
ENSSSAG00000004627,ENSSSAG00000042100
ENSSSAG00000009936,ENSSSAG00000006771
ENSSSAG00000005047,ENSSSAG00000086953
ENSSSAG00000109974,ENSSSAG00000100830
ENSSSAG00000073238,ENSSSAG00000100830
ENSSSAG00000079625,ENSSSAG00000111438
ENSSSAG00000001291,ENSSSAG00000086953
ENSSSAG00000075639,ENSSSAG00000037934
ENSSSAG00000010446,ENSSSAG00000076371
ENSSSAG00000116745,ENSSSAG00000001541
ENSSSAG00000054209,ENSSSAG00000099004
ENSSSAG00000058170,ENSSSAG00000090011
ENSSSAG00000065460,ENSSSAG00000066547
ENSSSAG00000083474,ENSSSAG00000001009
ENSSSAG00000085827,ENSSSAG00000040316
ENSSSAG00000071672,ENSSSAG00000066232
ENSSSAG00000048037,ENSSSAG00000070750
ENSSSAG00000042284,ENSSSAG00000050860
ENSSSAG00000090848,ENSSSAG00000104629
ENSSSAG00000042779,ENSSSAG00000046134
ENSSSAG00000051568,ENSSSAG00000038396
ENSSSAG00000045830,ENSSSAG00000064152
ENSSSAG00000088113,ENSSSAG00000064884
ENSSSAG00000079840,ENSSSAG00000068432
ENSSSAG00000070083,ENSSSAG00000040075
ENSSSAG00000001855,ENSSSAG00000086331
ENSSSAG00000005357,ENSSSAG00000075033
ENSSSAG00000074981,ENSSSAG00000087847
ENSSSAG00000078071,ENSSSAG00000075036
ENSSSAG00000064246,ENSSSAG00000075725
ENSSSAG00000070563,ENSSSAG00000075825
ENSSSAG00000057301,ENSSSAG00000122198
ENSSSAG00000069154,ENSSSAG00000064646
ENSSSAG00000073889,ENSSSAG00000006864
ENSSSAG00000104138,ENSSSAG00000056122
ENSSSAG00000080849,ENSSSAG00000083658
ENSSSAG00000062710,ENSSSAG00000063522
ENSSSAG00000079063,ENSSSAG00000071138
ENSSSAG00000058417,ENSSSAG00000121571
ENSSSAG00000100077,ENSSSAG00000044376
ENSSSAG00000049900,ENSSSAG00000063825
ENSSSAG00000075300,ENSSSAG00000070601
ENSSSAG00000093105,ENSSSAG00000121279
ENSSSAG00000092726,ENSSSAG00000108327
ENSSSAG00000063504,ENSSSAG00000108327
ENSSSAG00000075009,ENSSSAG00000097816
ENSSSAG00000117742,ENSSSAG00000047682
ENSSSAG00000001593,ENSSSAG00000095995
ENSSSAG00000068810,ENSSSAG00000054732
ENSSSAG00000047338,ENSSSAG00000075086
ENSSSAG00000071310,ENSSSAG00000112704
ENSSSAG00000097666,ENSSSAG00000064822
ENSSSAG00000113251,ENSSSAG00000042261
